precision,bit_size,starting_hash_size,downgraded_hash_size,hasher,composite_hash,average_number_of_duplicates,absolute_average_number_of_duplicates,total_number_of_hashes
10,6,32,24,XxHash64,SwitchHash,0.000015647668393782387,0.00302,193
10,5,32,24,AHasher,SwitchHash,0.000016149068322981367,0.0026,161
8,5,32,24,WyHash,CurrentHash,0.000017560975609756096,0.00072,41
7,6,32,24,WyHash,CurrentHash,0.0000176,0.00044,25
10,4,32,24,AHasher,CurrentHash,0.000018294573643410854,0.00236,129
10,6,32,24,AHasher,SwitchHash,0.0000183419689119171,0.00354,193
4,4,32,16,XxHash64,CurrentHash,0.00002,0.00006,3
4,4,32,16,XxHash64,SwitchHash,0.00002,0.00006,3
4,4,32,16,AHasher,CurrentHash,0.00002,0.00006,3
11,4,32,24,WyHash,SwitchHash,0.00002038910505836576,0.00524,257
10,4,32,24,XxHash64,CurrentHash,0.00002046511627906977,0.00264,129
11,4,32,24,XxHash64,SwitchHash,0.00002101167315175097,0.0054,257
10,4,32,24,WyHash,CurrentHash,0.00002108527131782946,0.00272,129
11,4,32,24,AHasher,SwitchHash,0.000021167315175097276,0.00544,257
9,5,32,24,XxHash64,CurrentHash,0.000022716049382716047,0.00184,81
9,5,32,24,AHasher,CurrentHash,0.000024691358024691357,0.002,81
8,6,32,24,AHasher,CurrentHash,0.000025306122448979594,0.00124,49
11,5,32,24,XxHash64,SwitchHash,0.000026355140186915883,0.00846,321
11,5,32,24,WyHash,SwitchHash,0.000027289719626168218,0.00876,321
11,5,32,24,AHasher,SwitchHash,0.000027725856697819306,0.0089,321
11,6,32,24,XxHash64,SwitchHash,0.000028571563852813854,0.011,385
9,5,32,24,WyHash,CurrentHash,0.000030123456790123457,0.00244,81
8,6,32,24,XxHash64,CurrentHash,0.000030204081632653058,0.00148,49
11,6,32,24,WyHash,SwitchHash,0.000030441558441558443,0.01172,385
11,6,32,24,AHasher,SwitchHash,0.000031948051948051946,0.0123,385
8,6,32,24,WyHash,CurrentHash,0.00003346938775510204,0.00164,49
11,4,32,24,AHasher,CurrentHash,0.0000375875486381323,0.00966,257
11,4,32,24,WyHash,CurrentHash,0.0000378988326848249,0.00974,257
4,4,32,16,WyHash,CurrentHash,0.000039999999999999996,0.00012,3
11,4,32,24,XxHash64,CurrentHash,0.00004038910505836576,0.01038,257
12,4,32,24,AHasher,SwitchHash,0.00004140350877192982,0.02124,513
12,4,32,24,WyHash,SwitchHash,0.00004276803118908382,0.02194,513
12,4,32,24,XxHash64,SwitchHash,0.00004300202546296296,0.02206,513
10,5,32,24,AHasher,CurrentHash,0.0000475776397515528,0.00766,161
10,5,32,24,XxHash64,CurrentHash,0.00005031055900621118,0.0081,161
12,5,32,24,WyHash,SwitchHash,0.000051138845553822154,0.03278,641
