precision,bit_size,hash_size,uniform_rice_coefficient,geometric_rice_coefficient,rate,mean_compressed_size,number_of_hashes,number_of_hashes_with_code,extra_hashes
9,4,16,8,0,0.5030,12.0984,85,169,84
9,4,17,9,0,0.5519,13.2386,85,154,69
9,4,18,10,0,0.5986,14.3786,85,142,57
9,4,19,11,0,0.6489,15.5186,85,131,46
9,4,20,12,0,0.6967,16.6572,85,122,37
9,4,21,14,0,0.7391,17.7247,85,115,30
9,4,22,15,0,0.7798,18.7885,85,109,24
9,4,23,16,0,0.8252,19.8528,85,103,18
9,4,24,17,0,0.8763,20.9170,85,97,12
9,5,14,0,0,0.1654,3.9933,106,641,535
9,5,15,7,0,0.4417,10.6663,106,240,134
9,5,16,8,0,0.4885,11.7749,106,217,111
9,5,17,9,0,0.5354,12.8828,106,198,92
9,5,18,10,0,0.5824,13.9911,106,182,76
9,5,19,11,0,0.6272,15.0989,106,169,63
9,5,20,12,0,0.6752,16.2071,106,157,51
9,5,21,13,0,0.7211,17.3153,106,147,41
9,5,22,14,0,0.7681,18.4240,106,138,32
9,5,23,15,0,0.8092,19.5326,106,131,25
9,5,24,16,0,0.8548,20.6407,106,124,18
9,6,15,0,0,0.1622,3.8934,128,789,661
9,6,16,7,0,0.4794,11.4744,128,267,139
9,6,17,9,0,0.5289,12.6599,128,242,114
9,6,18,10,0,0.5740,13.7473,128,223,95
9,6,19,11,0,0.6184,14.8344,128,207,79
9,6,20,12,0,0.6667,15.9222,128,192,64
9,6,21,13,0,0.7111,17.0103,128,180,52
9,6,22,14,0,0.7574,18.0983,128,169,41
9,6,23,15,0,0.8000,19.1868,128,160,32
9,6,24,16,0,0.8477,20.2753,128,151,23
10,4,14,0,0,0.1738,4.1856,170,978,808
10,4,15,6,0,0.4077,9.8040,170,417,247
10,4,16,7,0,0.4545,10.9469,170,374,204
10,4,17,8,0,0.5030,12.0884,170,338,168
10,4,18,9,0,0.5502,13.2288,170,309,139
10,4,19,10,0,0.5965,14.3688,170,285,115
10,4,20,11,0,0.6439,15.5091,170,264,94
10,4,21,12,0,0.6911,16.6490,170,246,76
10,4,22,14,0,0.7359,17.7139,170,231,61
10,4,23,15,0,0.7798,18.7775,170,218,48
10,4,24,16,0,0.8252,19.8414,170,206,36
10,5,15,0,0,0.1658,3.9817,213,1285,1072
10,5,16,7,0,0.4437,10.6570,213,480,267
10,5,17,8,0,0.4897,11.7651,213,435,222
10,5,18,9,0,0.5365,12.8729,213,397,184
10,5,19,10,0,0.5820,13.9806,213,366,153
10,5,20,11,0,0.6283,15.0883,213,339,126
10,5,21,12,0,0.6741,16.1964,213,316,103
10,5,22,13,0,0.7220,17.3049,213,295,82
10,5,23,14,0,0.7662,18.4136,213,278,65
10,5,24,15,0,0.8130,19.5226,213,262,49
10,6,16,0,0,0.1618,3.8829,256,1582,1326
10,6,17,7,0,0.4785,11.4655,256,535,279
10,6,18,9,0,0.5278,12.6498,256,485,229
10,6,19,10,0,0.5727,13.7366,256,447,191
10,6,20,11,0,0.6184,14.8235,256,414,158
10,6,21,12,0,0.6632,15.9109,256,386,130
10,6,22,13,0,0.7091,16.9987,256,361,105
10,6,23,14,0,0.7552,18.0866,256,339,83
10,6,24,15,0,0.8000,19.1748,256,320,64
11,4,15,0,0,0.1916,4.2710,341,1780,1439
11,4,16,6,0,0.4458,9.9024,341,765,424
11,4,17,7,0,0.4993,11.0633,341,683,342
11,4,18,8,0,0.5536,12.2239,341,616,275
11,4,19,9,0,0.6078,13.3850,341,561,220
11,4,20,10,0,0.6621,14.5461,341,515,174
11,4,21,12,0,0.7149,15.6697,341,477,136
11,4,22,13,0,0.7663,16.7425,341,445,104
11,4,23,14,0,0.8177,17.8161,341,417,76
11,4,24,15,0,0.8699,18.8907,341,392,51
11,5,16,0,0,0.1784,4.0231,426,2388,1962
11,5,17,7,0,0.4765,10.7244,426,894,468
11,5,18,8,0,0.5279,11.8438,426,807,381
11,5,19,9,0,0.5788,12.9634,426,736,310
11,5,20,10,0,0.6302,14.0838,426,676,250
11,5,21,11,0,0.6816,15.2049,426,625,199
11,5,22,12,0,0.7345,16.3271,426,580,154
11,5,23,13,0,0.7860,17.4505,426,542,116
11,5,24,14,0,0.8386,18.5743,426,508,82
11,6,17,0,0,0.1716,3.9010,512,2983,2471
11,6,18,7,0,0.5110,11.5896,512,1002,490
11,6,19,9,0,0.5614,12.7066,512,912,400
11,6,20,10,0,0.6110,13.8011,512,838,326
11,6,21,11,0,0.6606,14.8966,512,775,263
11,6,22,12,0,0.7101,15.9929,512,721,209
11,6,23,13,0,0.7608,17.0899,512,673,161
11,6,24,14,0,0.8114,18.1879,512,631,119
12,4,16,0,0,0.1836,4.2251,682,3714,3032
12,4,17,6,0,0.4289,9.8502,682,1590,908
12,4,18,7,0,0.4796,11.0023,682,1422,740
12,4,19,8,0,0.5307,12.1537,682,1285,603
12,4,20,9,0,0.5819,13.3049,682,1172,490
12,4,21,10,0,0.6332,14.4560,682,1077,395
12,4,22,11,0,0.6847,15.6083,682,996,314
12,4,23,13,0,0.7333,16.6881,682,930,248
12,4,24,14,0,0.7812,17.7563,682,873,191
12,5,17,0,0,0.1727,3.9978,853,4938,4085
12,5,18,7,0,0.4623,10.6867,853,1845,992
12,5,19,8,0,0.5111,11.8006,853,1669,816
12,5,20,9,0,0.5601,12.9140,853,1523,670
12,5,21,10,0,0.6093,14.0281,853,1400,547
12,5,22,11,0,0.6582,15.1428,853,1296,443
12,5,23,12,0,0.7079,16.2583,853,1205,352
12,5,24,13,0,0.7569,17.3745,853,1127,274
12,6,18,0,0,0.1671,3.8867,1024,6127,5103
12,6,19,7,0,0.4964,11.5283,1024,2063,1039
12,6,20,9,0,0.5461,12.6739,1024,1875,851
12,6,21,10,0,0.5936,13.7644,1024,1725,701
12,6,22,11,0,0.6412,14.8555,1024,1597,573
