struct_name,precision,bits,memory_requirements,population_time,cardinality_time,cardinality,cardinality_squared_error
HyperLogLog,8,3,108,99042642,484,23536,38792144415556
HyperLogLog,8,4,132,89456919,432,4865863,1921015404049
HyperLogLog,8,5,176,93605875,409,6796463,296581535649
HyperLogLog,8,6,212,94953125,362,6796463,296581535649
HyperLogLog,9,1,68,83817798,680,601,39078364110361
HyperLogLog,9,2,132,91486491,798,2948,39049026162084
HyperLogLog,9,3,212,95613900,613,47171,38498289680601
HyperLogLog,9,4,260,89782182,500,6091517,25713084609
HyperLogLog,9,5,348,96112825,541,6883621,399109326001
HyperLogLog,9,6,416,95068883,852,6883621,399109326001
HyperLogLog,10,1,132,86235142,1066,1204,39070825443556
HyperLogLog,10,2,260,90777286,831,5902,39012116257024
HyperLogLog,10,3,416,96901056,814,94442,37913919575184
HyperLogLog,10,4,516,92491009,715,6211137,1659177289
HyperLogLog,10,5,688,97483700,775,6409110,24724417600
HyperLogLog,10,6,824,97334164,790,6409110,24724417600
HyperLogLog,11,1,260,87156589,1512,2408,39055775289444
HyperLogLog,11,2,516,92439043,1217,11811,38938336323481
HyperLogLog,11,3,824,96615304,1174,188984,36758586648996
HyperLogLog,11,4,1028,95118213,1176,6375145,15196725625
HyperLogLog,11,5,1372,103989021,1191,6426379,30453391081
HyperLogLog,11,6,1644,99707968,1230,6426379,30453391081
HyperLogLog,12,1,516,87979754,2449,4815,39025696173025
HyperLogLog,12,2,1028,89855191,2059,23629,38790985954081
HyperLogLog,12,3,1644,96120870,2075,378069,34501538187601
HyperLogLog,12,4,2052,89689278,2137,6386275,18064704025
HyperLogLog,12,5,2736,98617193,2039,6400336,22042153156
HyperLogLog,12,6,3284,114224831,2698,6400336,22042153156
HyperLogLog,13,1,1028,107987070,4807,9636,38965485310756
HyperLogLog,13,2,2052,90918206,3774,47264,38497135615236
HyperLogLog,13,3,3284,94010333,3935,756238,30201971079424
HyperLogLog,13,4,4100,91734883,3743,6245261,43678881
HyperLogLog,13,5,5468,96854965,3944,6248393,12089529
HyperLogLog,13,6,6560,95102190,3854,6248393,12089529
HyperLogLog,14,1,2052,83857687,8560,19269,38845315225201
HyperLogLog,14,2,4100,89649896,21423,94536,37912761987556
HyperLogLog,14,3,6560,94430849,7510,1508157,22502813026369
HyperLogLog,14,4,8196,100632901,8038,6232867,361114009
HyperLogLog,14,5,10928,110826422,7674,6233657,331713369
HyperLogLog,14,6,13112,97734003,7397,6233657,331713369
HyperLogLog,15,1,4100,85039520,16582,38541,38605457262241
HyperLogLog,15,2,8196,89923188,14209,189078,36757446835264
HyperLogLog,15,3,13112,97335851,14785,2868304,11448518876356
HyperLogLog,15,4,16388,91951431,15402,6282371,930311001
HyperLogLog,15,5,21852,96372736,14411,6282577,942919849
HyperLogLog,15,6,26220,95936186,14551,6282577,942919849
HyperLogLog,16,1,8196,86135716,32778,77087,38127945097089
HyperLogLog,16,2,16388,93021010,28365,378162,34500445669264
HyperLogLog,16,3,26220,105761148,30671,4544106,2916457879696
HyperLogLog,16,4,32772,96961019,30652,6285295,1117230625
HyperLogLog,16,5,43696,102398951,28554,6285355,1121245225
HyperLogLog,16,6,52436,100005520,29467,6285355,1121245225
HashSet,0,0,75497520,765924790,71,6251870,0
HyperLogLog,4,1,8,89431301,489,18,22627926361924
HyperLogLog,4,2,8,78450181,286,86,22627279430596
HyperLogLog,4,3,12,74015266,358,1378,22614989492484
HyperLogLog,4,4,12,61879698,289,352845,19395700443025
HyperLogLog,4,5,16,67597448,305,3211681,2387701757961
HyperLogLog,4,6,20,68300451,271,3226018,2343599697924
HyperLogLog,5,1,8,59497285,505,36,22627755114496
HyperLogLog,5,2,12,69333733,449,178,22626404185284
HyperLogLog,5,3,20,118185694,427,2854,22600953370116
HyperLogLog,5,4,20,94957319,575,730857,16209022237849
HyperLogLog,5,5,28,97972732,379,4123405,401315915025
HyperLogLog,5,6,32,90420749,381,4129092,394142884864
HyperLogLog,6,1,12,74478650,569,74,22627393594276
HyperLogLog,6,2,20,71083709,595,363,22624644232369
HyperLogLog,6,3,32,72671990,364,5808,22572875192464
HyperLogLog,6,4,36,80058103,445,1464005,10843157481025
HyperLogLog,6,5,48,83550001,454,4361091,156664764481
HyperLogLog,6,6,56,84612526,457,4361091,156664764481
HyperLogLog,7,1,20,73933735,645,149,22626680076001
HyperLogLog,7,2,36,76788669,426,732,22621134044224
HyperLogLog,7,3,56,84268309,361,11718,22516752213124
HyperLogLog,7,4,68,77638093,406,2685370,4291236540900
HyperLogLog,7,5,92,81851453,407,4654641,10456903081
HyperLogLog,7,6,108,70168488,409,4654641,10456903081
HyperLogLog,8,1,36,81715760,904,300,22625243560000
HyperLogLog,8,2,68,115772557,1292,1471,22614104974041
HyperLogLog,8,3,108,110458445,657,23536,22404734756496
HyperLogLog,8,4,132,93326983,511,3965240,626725555600
HyperLogLog,8,5,176,81249429,463,4954511,39050107321
HyperLogLog,8,6,212,68852646,426,4954511,39050107321
HyperLogLog,9,1,68,63766950,804,601,22622380177401
HyperLogLog,9,2,132,73922910,1011,2948,22600059618304
HyperLogLog,9,3,212,84727108,1064,47171,22181547253441
HyperLogLog,9,4,260,76529386,720,4600364,24503519296
HyperLogLog,9,5,348,75955652,637,4943655,34877430025
HyperLogLog,9,6,416,67929491,932,4943655,34877430025
HyperLogLog,10,1,132,68352694,1035,1204,22616644444416
HyperLogLog,10,2,260,66453375,1101,5902,22571981996004
HyperLogLog,10,3,416,87816971,1095,94442,21738514601764
HyperLogLog,10,4,516,82216098,945,4781304,595555216
HyperLogLog,10,5,688,81602758,879,4873714,13645510596
HyperLogLog,10,6,824,69587835,825,4873714,13645510596
HyperLogLog,11,1,260,73250879,2083,2408,22605194178064
HyperLogLog,11,2,516,108527521,1539,11811,22515869617921
HyperLogLog,11,3,824,89559860,1507,188984,20865856583056
HyperLogLog,11,4,1028,83912756,1615,4750564,40144896
HyperLogLog,11,5,1372,81851454,1489,4772358,238949764
HyperLogLog,11,6,1644,77123136,1284,4772358,238949764
HyperLogLog,12,1,516,60970003,2638,4815,22582311847225
HyperLogLog,12,2,1028,63020052,2223,23629,22403854359441
HyperLogLog,12,3,1644,70675223,2646,378069,19174160926561
HyperLogLog,12,4,2052,68134158,2426,4701826,3033145476
HyperLogLog,12,5,2736,76187541,2483,4707466,2443720356
HyperLogLog,12,6,3284,74335423,2649,4707466,2443720356
HyperLogLog,13,1,1028,79433005,5583,9636,22536515485696
HyperLogLog,13,2,2052,83019613,4780,47264,22180671252496
HyperLogLog,13,3,3284,69639041,4467,756238,16005296438244
HyperLogLog,13,4,4100,63741535,4518,4754635,5130225
HyperLogLog,13,5,5468,66781680,4171,4755987,833569
HyperLogLog,13,6,6560,66720892,4195,4755987,833569
HyperLogLog,14,1,2052,60322976,9798,19269,22445147492161
HyperLogLog,14,2,4100,63206263,7815,94536,21737638068496
HyperLogLog,14,3,6560,66341290,7952,1495146,10639039156516
HyperLogLog,14,4,8196,63740525,8019,4738222,348867684
HyperLogLog,14,5,10928,68617831,7744,4738547,336832609
HyperLogLog,14,6,13112,75767523,9371,4738547,336832609
HyperLogLog,15,1,4100,70627776,19888,38541,22262911652881
HyperLogLog,15,2,8196,73498083,19216,189078,20864997823684
HyperLogLog,15,3,13112,80318414,15905,2686198,4287806772804
HyperLogLog,15,4,16388,69715635,16168,4748498,70593604
HyperLogLog,15,5,21852,74923407,17726,4748578,69255684
HyperLogLog,15,6,26220,81539011,18360,4748578,69255684
HyperLogLog,16,1,8196,73745834,41466,77087,21900649714969
HyperLogLog,16,2,16388,79344234,35591,378162,19173346472644
HyperLogLog,16,3,26220,87000398,36882,3841809,837391538281
HyperLogLog,16,4,32772,85169487,41279,4745454,131010916
HyperLogLog,16,5,43696,97097362,35631,4745475,130530625
HyperLogLog,16,6,52436,91271522,36358,4745475,130530625
HashSet,0,0,75497520,727129560,76,4756900,0
HyperLogLog,4,1,8,40104047,443,18,8270708781456
HyperLogLog,4,2,8,35349879,310,86,8270317665856
HyperLogLog,4,3,12,33005534,343,1378,8262888226576
HyperLogLog,4,4,12,31000174,230,352845,6365816625249
HyperLogLog,4,5,16,35258630,304,2176591,489035874721
HyperLogLog,4,6,20,36187537,309,2176591,489035874721
HyperLogLog,5,1,8,30013570,421,36,8270605249956
HyperLogLog,5,2,12,33009177,290,178,8269788524176
HyperLogLog,5,3,20,35842527,360,2854,8254404810304
HyperLogLog,5,4,20,35289325,287,730857,4601218052025
HyperLogLog,5,5,28,34784116,278,2649196,51395610436
HyperLogLog,5,6,32,34012033,324,2651543,50336960881
HyperLogLog,6,1,12,31785508,554,74,8270386685584
HyperLogLog,6,2,20,38010392,504,363,8268724540521
HyperLogLog,6,3,32,38928027,343,5808,8237439568836
HyperLogLog,6,4,36,33642649,417,1359433,2299678227961
HyperLogLog,6,5,48,36974381,330,2703179,29833234729
HyperLogLog,6,6,56,34472290,387,2703179,29833234729
HyperLogLog,7,1,20,30302969,511,149,8269955317009
HyperLogLog,7,2,36,32015280,276,732,8266602528900
HyperLogLog,7,3,56,33357993,241,11718,8203549985856
HyperLogLog,7,4,68,32772897,360,2010512,748899852100
HyperLogLog,7,5,92,34447994,348,2604547,73633536025
HyperLogLog,7,6,108,34976578,324,2604547,73633536025
HyperLogLog,8,1,36,29774504,546,300,8269086862404
HyperLogLog,8,2,68,31492800,468,1471,8262353573761
HyperLogLog,8,3,108,40715920,468,23536,8135991797956
HyperLogLog,8,4,132,31474663,451,2601144,75491958564
HyperLogLog,8,5,176,33267791,398,2860621,233508961
HyperLogLog,8,6,212,33057947,357,2860580,234763684
HyperLogLog,9,1,68,29374944,679,601,8267355840601
HyperLogLog,9,2,132,30641465,444,2948,8253864686116
HyperLogLog,9,3,212,32365991,509,47171,8001719070361
HyperLogLog,9,4,260,31202323,469,2804031,5165440641
HyperLogLog,9,5,348,33905424,483,2882844,48191364
HyperLogLog,9,6,416,33408995,462,2882844,48191364
HyperLogLog,10,1,132,29963395,990,1204,8263888591204
HyperLogLog,10,2,260,30768369,650,5902,8236900000000
HyperLogLog,10,3,416,33181061,653,94442,7736519731600
HyperLogLog,10,4,516,32385122,703,2798733,5955054561
HyperLogLog,10,5,688,33388235,1005,2819412,3191120100
HyperLogLog,10,6,824,33575918,740,2819412,3191120100
HyperLogLog,11,1,260,31590330,1571,2408,8256967768036
HyperLogLog,11,2,516,36012117,1383,11811,8203017256281
HyperLogLog,11,3,824,35211400,1259,188984,7219528338724
HyperLogLog,11,4,1028,32757540,1161,2826003,2489910201
HyperLogLog,11,5,1372,34806206,1253,2831652,1958062500
HyperLogLog,11,6,1644,37205287,1193,2831652,1958062500
HyperLogLog,12,1,516,30086345,2471,4815,8243140561569
HyperLogLog,12,2,1028,31801100,2066,23629,8135461266529
HyperLogLog,12,3,1644,34331727,2146,378069,6239169695889
HyperLogLog,12,4,2052,32725980,2353,2845781,907274641
HyperLogLog,12,5,2736,37645520,2149,2847244,821280964
HyperLogLog,12,6,3284,35352873,2221,2847244,821280964
HyperLogLog,13,1,1028,31879949,4701,9636,8215480782756
HyperLogLog,13,2,2052,31688159,3930,47264,8001192935044
HyperLogLog,13,3,3284,34371074,4074,753753,4503516378201
HyperLogLog,13,4,4100,32987878,3790,2853746,490888336
HyperLogLog,13,5,5468,34352709,4152,2854092,475676100
HyperLogLog,13,6,6560,33061307,3833,2854092,475676100
HyperLogLog,14,1,2052,29155911,8633,19269,8160352096689
HyperLogLog,14,2,4100,30943081,7388,94536,7735996825956
HyperLogLog,14,3,6560,33287794,7474,1405037,2163443848225
HyperLogLog,14,4,8196,31635611,7578,2850570,641710224
HyperLogLog,14,5,10928,33727983,6999,2850657,637310025
HyperLogLog,14,6,13112,33952838,7439,2850657,637310025
HyperLogLog,15,1,4100,34995604,16788,38541,8050617444321
HyperLogLog,15,2,8196,34405112,31324,189078,7219023206976
HyperLogLog,15,3,13112,39220697,18452,2156625,517359402729
HyperLogLog,15,4,16388,41183439,20020,2863676,149475076
HyperLogLog,15,5,21852,44875650,18246,2863696,148986436
HyperLogLog,15,6,26220,42396756,17878,2863696,148986436
HyperLogLog,16,1,8196,38079539,41433,77087,7833365404225
HyperLogLog,16,2,16388,36695955,30258,378156,6238735080516
HyperLogLog,16,3,26220,37143846,31228,2622915,64002422169
HyperLogLog,16,4,32772,35736282,31247,2867600,68923204
HyperLogLog,16,5,43696,37691615,29882,2867604,68856804
HyperLogLog,16,6,52436,36898903,30208,2867605,68840209
HashSet,0,0,37748784,184161147,58,2875902,0
HyperLogLog,4,1,8,81745033,435,18,28215123627681
HyperLogLog,4,2,8,72766477,311,86,28214401228729
HyperLogLog,4,3,12,75529785,339,1378,28200677405761
HyperLogLog,4,4,12,70266658,342,352845,24591323953296
HyperLogLog,4,5,16,75922441,296,4433302,771774549049
HyperLogLog,4,6,20,72760158,265,4406269,820002691600
HyperLogLog,5,1,8,65666303,398,36,28214932403529
HyperLogLog,5,2,12,72097301,340,178,28213423880161
HyperLogLog,5,3,20,81570438,409,2854,28185003192025
HyperLogLog,5,4,20,86237608,371,730857,20985121226304
HyperLogLog,5,5,28,91258369,356,4563403,560111540836
HyperLogLog,5,6,32,80537717,249,4563403,560111540836
HyperLogLog,6,1,12,70625746,537,74,28214528710225
HyperLogLog,6,2,20,73804637,391,363,28211458610916
HyperLogLog,6,3,32,77977674,396,5808,28153646612001
HyperLogLog,6,4,36,77215472,384,1441823,14976791640196
HyperLogLog,6,5,48,79108151,341,4447071,747771808644
HyperLogLog,6,6,56,78118975,700,4447071,747771808644
HyperLogLog,7,1,20,68503030,546,149,28213731955600
HyperLogLog,7,2,36,75864855,378,732,28207538899929
HyperLogLog,7,3,56,77308207,295,11718,28090964608281
HyperLogLog,7,4,68,73096960,356,2666721,6996490527744
HyperLogLog,7,5,92,92303258,386,4734446,333348033769
HyperLogLog,7,6,108,84007009,339,4734446,333348033769
HyperLogLog,8,1,36,72226514,732,300,28212127857081
HyperLogLog,8,2,68,78603816,415,1471,28199689674244
HyperLogLog,8,3,108,80511086,455,23536,27965831322529
HyperLogLog,8,4,132,75750945,491,4113276,1436481352089
HyperLogLog,8,5,176,77277291,394,5285572,688380169
HyperLogLog,8,6,212,77301316,415,5285572,688380169
HyperLogLog,9,1,68,68649591,707,601,28208930419264
HyperLogLog,9,2,132,72655794,938,2948,28184005117321
HyperLogLog,9,3,212,76245716,575,47171,27716413271044
HyperLogLog,9,4,260,73397683,519,4934469,142385475600
HyperLogLog,9,5,348,92967710,608,5389607,6052528804
HyperLogLog,9,6,416,77355611,598,5389570,6046773121
HyperLogLog,10,1,132,68478515,1106,1204,28202525466025
HyperLogLog,10,2,260,71438766,798,5902,28152649092649
HyperLogLog,10,3,416,89125043,882,94442,27220918412689
HyperLogLog,10,4,516,73321608,770,5263093,2373248656
HyperLogLog,10,5,688,77467831,997,5408060,9264255001
HyperLogLog,10,6,824,76432448,803,5408055,9263292516
HyperLogLog,11,1,260,67939100,1668,2408,28189738978801
HyperLogLog,11,2,516,72489882,1248,11811,28089978800004
HyperLogLog,11,3,824,77230189,1217,188984,26243335980625
HyperLogLog,11,4,1028,72912991,1200,5275116,1346376249
HyperLogLog,11,5,1372,77825737,1219,5309105,7311616
HyperLogLog,11,6,1644,90153039,1410,5309103,7322436
HyperLogLog,12,1,516,71218660,2534,4815,28164185316036
HyperLogLog,12,2,1028,71814647,2188,23629,27964847712400
HyperLogLog,12,3,1644,77238491,2151,378069,24341790387600
HyperLogLog,12,4,2052,72291608,2422,5230420,6624169321
HyperLogLog,12,5,2736,78005242,2108,5238970,5305519921
HyperLogLog,12,6,3284,78551158,2283,5238970,5305519921
HyperLogLog,13,1,1028,70338821,4709,9636,28113038521929
HyperLogLog,13,2,2052,73974601,4001,47264,27715434057025
HyperLogLog,13,3,3284,75908711,4039,756145,20754074480896
HyperLogLog,13,4,4100,71742150,3780,5309816,3972049
HyperLogLog,13,5,5468,76244919,3976,5311736,5329
HyperLogLog,13,6,6560,76339357,4147,5311736,5329
HyperLogLog,14,1,2052,68070007,9152,19269,28010979651600
HyperLogLog,14,2,4100,72212071,7463,94536,27219937556529
HyperLogLog,14,3,6560,79874150,8929,1501760,14516473382401
HyperLogLog,14,4,8196,72640020,7842,5264660,2223028201
HyperLogLog,14,5,10928,75605895,7143,5265152,2176875649
HyperLogLog,14,6,13112,80544303,7593,5265152,2176875649
HyperLogLog,15,1,4100,67054295,16995,38541,27807355399824
HyperLogLog,15,2,8196,73725556,14929,189078,26242372898361
HyperLogLog,15,3,13112,77726531,15777,2767334,6474353025625
HyperLogLog,15,4,16388,74355555,15742,5297763,197290116
HyperLogLog,15,5,21852,77937665,14871,5297884,193905625
HyperLogLog,15,6,26220,76633122,14869,5297884,193905625
HyperLogLog,16,1,8196,68956447,33566,77087,27402314417284
HyperLogLog,16,2,16388,80751854,29096,378162,24340872720609
HyperLogLog,16,3,26220,90613100,42040,4124187,1410446014884
HyperLogLog,16,4,32772,115185486,42774,5300735,122633476
HyperLogLog,16,5,43696,125893019,40795,5300767,121925764
HyperLogLog,16,6,52436,121405673,39896,5300767,121925764
HashSet,0,0,75497520,699964636,70,5311809,0
HyperLogLog,4,1,8,36788664,474,18,6467922190521
HyperLogLog,4,2,8,34955860,355,86,6467576318449
HyperLogLog,4,3,12,35085272,320,1378,6461006506201
HyperLogLog,4,4,12,32855416,331,352845,4797782067456
HyperLogLog,4,5,16,36340186,311,2517868,643180321
HyperLogLog,4,6,20,33959998,298,2509125,1163082816
HyperLogLog,5,1,8,30039705,424,36,6467830635249
HyperLogLog,5,2,12,29916391,369,178,6467108388601
HyperLogLog,5,3,20,33134716,385,2854,6453505140625
HyperLogLog,5,4,20,29501675,345,730857,3284692266384
HyperLogLog,5,5,28,35148148,355,3029951,236898305284
HyperLogLog,5,6,32,34979149,289,3033021,239896203264
HyperLogLog,6,1,12,31764134,579,74,6467637354025
HyperLogLog,6,2,20,33783398,381,363,6466167493956
HyperLogLog,6,3,32,36167536,475,5808,6438505331241
HyperLogLog,6,4,36,33186214,391,1379135,1355114840836
HyperLogLog,6,5,48,36726175,422,2681754,19189175625
HyperLogLog,6,6,56,36020797,855,2681754,19189175625
HyperLogLog,7,1,20,31970127,626,149,6467255886400
HyperLogLog,7,2,36,33963825,410,732,6464290995009
HyperLogLog,7,3,56,39282132,346,11718,6408547943121
HyperLogLog,7,4,68,40663469,490,2133377,167978661904
HyperLogLog,7,5,92,41153123,415,2754596,44676008689
HyperLogLog,7,6,108,38511667,430,2754596,44676008689
HyperLogLog,8,1,36,37563748,779,300,6466487899041
HyperLogLog,8,2,68,44913841,590,1471,6460533730564
HyperLogLog,8,3,108,45261472,708,23536,6348852814249
HyperLogLog,8,4,132,49076992,561,2520389,521665600
HyperLogLog,8,5,176,40943399,490,2714884,29465439025
HyperLogLog,8,6,212,39696714,547,2714884,29465439025
HyperLogLog,9,1,68,33897013,1212,601,6464957146384
HyperLogLog,9,2,132,34688427,838,2948,6453027558961
HyperLogLog,9,3,212,35997809,694,47171,6230305539364
HyperLogLog,9,4,260,40738151,726,2696419,23467176100
HyperLogLog,9,5,348,41468981,751,2753438,44187823681
HyperLogLog,9,6,416,39280503,1229,2753438,44187823681
HyperLogLog,10,1,132,35670518,1449,1204,6461891100625
HyperLogLog,10,2,260,41027772,987,5902,6438028304929
HyperLogLog,10,3,416,44390155,1084,94442,5996557771369
HyperLogLog,10,4,516,40379944,1070,2601407,3384679684
HyperLogLog,10,5,688,43683842,917,2615688,5250306681
HyperLogLog,10,6,824,44707544,1324,2615688,5250306681
HyperLogLog,11,1,260,38327345,2316,2408,6455771354041
HyperLogLog,11,2,516,37548021,1523,11811,6408077090724
HyperLogLog,11,3,824,37071549,1507,188984,5542469520025
HyperLogLog,11,4,1028,34258318,1594,2605583,3888021316
HyperLogLog,11,5,1372,36892500,1524,2608918,4315044721
HyperLogLog,11,6,1644,36071056,1722,2608918,4315044721
HyperLogLog,12,1,516,30670951,2612,4815,6443545635396
HyperLogLog,12,2,1028,32320488,2527,23629,6348384160000
HyperLogLog,12,3,1644,37426156,2702,378069,4687917825600
HyperLogLog,12,4,2052,39888151,3096,2593125,2489610816
HyperLogLog,12,5,2736,45960125,2901,2593956,2573228529
HyperLogLog,12,6,3284,43911420,3195,2593956,2573228529
HyperLogLog,13,1,1028,39656591,6333,9636,6419093489649
HyperLogLog,13,2,2052,42725336,5439,47264,6229841281225
HyperLogLog,13,3,3284,44550011,5741,751194,3211389441225
HyperLogLog,13,4,4100,39872616,5262,2564920,470499481
HyperLogLog,13,5,5468,52336046,8749,2565092,477990769
HyperLogLog,13,6,6560,63310422,5880,2565092,477990769
HyperLogLog,14,1,2052,39322782,12752,19269,6370374081600
HyperLogLog,14,2,4100,40945728,10376,94536,5996097408249
HyperLogLog,14,3,6560,43415259,23503,1371674,1372541118025
HyperLogLog,14,4,8196,44204864,11083,2549672,41512249
HyperLogLog,14,5,10928,47373284,11131,2549721,42146064
HyperLogLog,14,6,13112,46709623,11139,2549721,42146064
HyperLogLog,15,1,4100,41099874,24602,38541,6273461977344
HyperLogLog,15,2,8196,43850885,21195,189078,5542026930801
HyperLogLog,15,3,13112,46061395,21885,2014457,279599827984
HyperLogLog,15,4,16388,41305248,24094,2551771,72965764
HyperLogLog,15,5,21852,46402018,21216,2551786,73222249
HyperLogLog,15,6,26220,61104268,22027,2551786,73222249
HyperLogLog,16,1,8196,90197811,71785,77087,6081856364164
HyperLogLog,16,2,16388,111969800,41700,378156,4687541095329
HyperLogLog,16,3,26220,53597025,67037,2372484,29153855025
HyperLogLog,16,4,32772,47535531,43685,2551073,61528336
HyperLogLog,16,5,43696,48415853,40768,2551076,61575409
HyperLogLog,16,6,52436,45562074,41127,2551076,61575409
HashSet,0,0,37748784,290442132,70,2543229,0
HyperLogLog,4,1,8,122067762,2155,18,36934584128689
HyperLogLog,4,2,8,122244193,729,86,36933757609225
HyperLogLog,4,3,12,125961230,425,1378,36918055496529
HyperLogLog,4,4,12,123167829,951,352845,32770541397136
HyperLogLog,4,5,16,162310073,987,4785617,1668705902656
HyperLogLog,4,6,20,129844724,326,4754133,1751038199824
HyperLogLog,5,1,8,118613197,1131,36,36934365343225
HyperLogLog,5,2,12,154808474,527,178,36932639391729
HyperLogLog,5,3,20,138804564,646,2854,36900121255209
HyperLogLog,5,4,20,119625025,373,730857,28585532743936
HyperLogLog,5,5,28,123432879,1749,6994374,840839482729
HyperLogLog,5,6,32,119046240,303,6994374,840839482729
HyperLogLog,6,1,12,115469066,593,74,36933903464929
HyperLogLog,6,2,20,112994304,1287,363,36930390853444
HyperLogLog,6,3,32,116547317,507,5808,36864241557649
HyperLogLog,6,4,36,110918117,413,1486880,21072883051441
HyperLogLog,6,5,48,129969690,709,6905060,685019420281
HyperLogLog,6,6,56,122588936,480,6905060,685019420281
HyperLogLog,7,1,20,106787918,782,149,36932991871504
HyperLogLog,7,2,36,114584046,403,732,36925906135561
HyperLogLog,7,3,56,123207418,403,11718,36792510256489
HyperLogLog,7,4,68,117518538,404,2887277,10176891135376
HyperLogLog,7,5,92,126446243,427,7056132,957914370361
HyperLogLog,7,6,108,115702892,1542,7056132,957914370361
HyperLogLog,8,1,36,101942854,791,300,36931156564201
HyperLogLog,8,2,68,118888575,551,1471,36916925364900
HyperLogLog,8,3,108,132270003,896,23536,36649281438225
HyperLogLog,8,4,132,121147368,572,4731529,1811371440384
HyperLogLog,8,5,176,120009850,821,6763403,470598744004
HyperLogLog,8,6,212,122975011,536,6763403,470598744004
HyperLogLog,9,1,68,112207288,864,601,36927498240000
HyperLogLog,9,2,132,119855572,949,2948,36898979249209
HyperLogLog,9,3,212,129884086,691,47171,36363673852900
HyperLogLog,9,4,260,112205361,622,5789223,83046559684
HyperLogLog,9,5,348,117275172,748,6529569,204455900224
HyperLogLog,9,6,416,118938344,669,6529569,204455900224
HyperLogLog,10,1,132,103563784,1316,1204,36920169982809
HyperLogLog,10,2,260,111025348,950,5902,36863100107001
HyperLogLog,10,3,416,119737613,920,94442,35795798395681
HyperLogLog,10,4,516,108998480,964,5949914,16252935169
HyperLogLog,10,5,688,117620925,946,6138753,3764067904
HyperLogLog,10,6,824,115081182,1025,6138747,3763331716
HyperLogLog,11,1,260,114231913,2210,2408,36905539950049
HyperLogLog,11,2,516,127457838,1746,11811,36791382048100
HyperLogLog,11,3,824,134559528,1728,188984,34673454765889
HyperLogLog,11,4,1028,117930991,1718,6100013,511302544
HyperLogLog,11,5,1372,120861635,1542,6149758,5235535449
HyperLogLog,11,6,1644,116759351,1501,6149758,5235535449
HyperLogLog,12,1,516,104351654,3300,4815,36876300727396
HyperLogLog,12,2,1028,111976464,2820,23629,36648155427984
HyperLogLog,12,3,1644,117822874,2682,378069,32482385246224
HyperLogLog,12,4,2052,109562372,2614,6083548,37785609
HyperLogLog,12,5,2736,124229715,2846,6095276,319515625
HyperLogLog,12,6,3284,117501487,2624,6095275,319479876
HyperLogLog,13,1,1028,104438289,5810,9636,36817772095225
HyperLogLog,13,2,2052,109167563,5173,47264,36362552238769
HyperLogLog,13,3,3284,116233424,5291,756238,28314775672569
HyperLogLog,13,4,4100,110727303,5059,6071492,34916281
HyperLogLog,13,5,5468,134665917,5434,6074157,10523536
HyperLogLog,13,6,6560,131775087,5503,6074157,10523536
HyperLogLog,14,1,2052,117675793,12226,19269,36700963329424
HyperLogLog,14,2,4100,112665530,9201,94536,35794673608225
HyperLogLog,14,3,6560,116040862,9556,1508892,20871274483081
HyperLogLog,14,4,8196,109520821,10015,6045093,1043806864
HyperLogLog,14,5,10928,116599451,9206,6045754,1001532609
HyperLogLog,14,6,13112,132609548,11692,6045754,1001532609
HyperLogLog,15,1,4100,113534646,22708,38541,36467830099600
HyperLogLog,15,2,8196,110614714,18927,189078,34672347752329
HyperLogLog,15,3,13112,115646402,18731,2852539,10399734919044
HyperLogLog,15,4,16388,110495020,19620,6078733,1774224
HyperLogLog,15,5,21852,119629070,18568,6078922,2313441
HyperLogLog,15,6,26220,116959226,18321,6078922,2313441
HyperLogLog,16,1,8196,105500329,41814,77087,36003768098596
HyperLogLog,16,2,16388,110448217,36864,378162,32481325179121
HyperLogLog,16,3,26220,120268066,38159,4450419,2647070428324
HyperLogLog,16,4,32772,114726283,39191,6052778,606292129
HyperLogLog,16,5,43696,122834554,36101,6052826,603930625
HyperLogLog,16,6,52436,121817347,36544,6052826,603930625
HashSet,0,0,75497520,1038292556,83,6077401,0
HyperLogLog,4,1,8,3945915,1847,18,82748850921
HyperLogLog,4,2,8,3939212,292,86,82709733649
HyperLogLog,4,3,12,4080624,452,1378,81968262601
HyperLogLog,4,4,12,3904488,405,235230,2750897601
HyperLogLog,4,5,16,4345718,810,284499,10112400
HyperLogLog,4,6,20,4183742,350,284499,10112400
HyperLogLog,5,1,8,3559784,666,36,82738495449
HyperLogLog,5,2,12,3779127,690,178,82656825001
HyperLogLog,5,3,20,4197008,442,2854,81125280625
HyperLogLog,5,4,20,3799771,633,334106,2155466329
HyperLogLog,5,5,28,4097532,572,353351,4312811584
HyperLogLog,5,6,32,4043992,511,353351,4312811584
HyperLogLog,6,1,12,3610066,574,74,82716636025
HyperLogLog,6,2,20,3780963,652,363,82550483856
HyperLogLog,6,3,32,3914240,451,5808,79451260641
HyperLogLog,6,4,36,3647168,309,305001,300051684
HyperLogLog,6,5,48,3926427,641,312441,613156644
HyperLogLog,6,6,56,3866889,1132,312441,613156644
HyperLogLog,7,1,20,3647539,651,149,82673500900
HyperLogLog,7,2,36,3755397,736,732,82338580809
HyperLogLog,7,3,56,3911902,402,11718,76154473521
HyperLogLog,7,4,68,3699149,665,333919,2138137600
HyperLogLog,7,5,92,4096105,533,335740,2309859721
HyperLogLog,7,6,108,3950541,389,335740,2309859721
